Assignment_ID,Worker_ID,Plant_ID,Animal_ID,Task,Date
1,7,75,65,Cleaning,2023-02-03
2,14,92,94,Irrigation,2023-03-11
3,14,21,97,Feeding,2023-01-28
4,2,5,44,Cleaning,2023-04-22
5,15,15,37,Cleaning,2023-05-08
6,17,41,59,Harvesting,2023-06-15
7,6,99,97,Cleaning,2023-05-11
8,19,75,49,Irrigation,2023-10-05
9,4,75,61,Feeding,2023-12-18
10,17,97,13,Cleaning,2023-06-25
11,17,6,9,Cleaning,2023-08-15
12,13,76,48,Irrigation,2023-10-14
13,11,18,41,Harvesting,2023-11-30
14,6,29,55,Irrigation,2023-05-14
15,8,74,21,Harvesting,2023-10-11
16,5,12,50,Cleaning,2023-11-30
17,16,57,64,Harvesting,2023-06-29
18,17,77,86,Cleaning,2023-04-25
19,2,14,2,Harvesting,2023-09-08
20,5,20,54,Cleaning,2023-05-04
21,9,23,25,Cleaning,2023-06-26
22,14,86,100,Feeding,2023-03-06
23,19,43,7,Cleaning,2023-07-17
24,15,18,54,Feeding,2023-10-27
25,11,58,19,Cleaning,2023-12-28
26,14,86,29,Feeding,2023-12-11
27,10,40,86,Harvesting,2023-05-19
28,3,43,83,Cleaning,2023-02-24
29,1,47,,Irrigation,2023-09-03
30,5,36,32,Cleaning,2023-06-10
31,15,50,90,Harvesting,2023-12-08
32,17,39,61,Irrigation,2023-09-24
33,1,80,80,Feeding,2023-05-22
34,9,72,71,Feeding,2023-10-05
35,7,46,96,Cleaning,2023-12-16
36,16,97,55,Cleaning,2023-03-29
37,1,74,93,Feeding,2023-03-25
38,17,66,18,Feeding,2023-06-28
39,8,79,15,Irrigation,2023-11-28
40,16,61,36,Harvesting,2023-08-23
41,5,29,62,Feeding,2023-06-11
42,2,8,36,Harvesting,2023-08-17
43,18,7,43,Harvesting,2023-10-28
44,10,3,29,Irrigation,2023-07-27
45,16,48,88,Cleaning,2023-09-26
46,1,70,90,Cleaning,2023-02-15
47,7,81,37,Irrigation,2023-07-23
48,8,13,75,Feeding,2023-08-23
49,15,96,86,Irrigation,2023-08-10
50,19,45,3,Cleaning,2023-03-28
51,20,78,18,Cleaning,2023-03-21
52,7,97,76,Cleaning,2023-02-24
53,13,77,63,Feeding,2023-11-28
54,1,54,66,Irrigation,2023-05-02
55,11,14,97,Irrigation,2023-05-16
56,20,42,56,Harvesting,2023-06-15
57,17,99,85,Irrigation,2023-10-06
58,17,57,17,Irrigation,2023-03-25
59,7,75,4,Irrigation,2023-05-19
60,9,94,14,Harvesting,2023-02-12
61,17,9,31,Harvesting,2023-08-24
62,19,49,42,Cleaning,2023-05-25
63,10,48,99,Irrigation,2023-06-26
64,6,90,81,Irrigation,2023-01-23
65,19,6,95,Irrigation,2023-09-02
66,12,97,52,Harvesting,2023-05-29
67,4,30,89,Feeding,2023-06-25
68,10,40,76,Cleaning,2023-11-14
69,18,94,91,Cleaning,2023-04-19
70,8,13,76,Cleaning,2023-01-12
71,17,63,98,Feeding,2023-12-09
72,13,33,56,Irrigation,2023-12-11
73,18,77,35,Irrigation,2023-03-28
74,8,21,41,Irrigation,2023-10-07
75,1,47,64,Harvesting,2023-03-16
76,2,82,23,Harvesting,2023-06-10
77,6,17,34,Irrigation,2023-08-30
78,11,41,88,Irrigation,2023-07-25
79,11,89,29,Feeding,2023-06-13
80,18,47,78,Feeding,2023-02-25
81,3,17,49,Cleaning,2023-12-16
82,16,27,71,Feeding,2023-11-06
83,1,9,5,Harvesting,2023-01-13
84,18,48,22,Cleaning,2023-10-24
85,4,27,88,Irrigation,2023-08-23
86,9,60,15,Feeding,2023-10-11
87,17,67,47,Irrigation,2023-11-06
88,11,61,54,Irrigation,2023-01-08
89,5,12,6,Cleaning,2023-11-05
90,8,10,71,Irrigation,2023-02-03
91,6,24,86,Irrigation,2023-01-18
92,18,24,78,Cleaning,2023-02-22
93,16,4,74,Feeding,2023-07-27
94,18,40,29,Harvesting,2023-08-10
95,14,32,,Harvesting,2023-10-20
96,1,81,93,Feeding,2023-04-26
97,18,21,82,Feeding,2023-10-12
98,19,93,68,Feeding,2023-11-21
99,12,18,55,Feeding,2023-03-15
100,18,96,50,Feeding,2023-02-24
101,10,93,27,Harvesting,2023-06-18
102,4,29,53,Harvesting,2023-06-18
103,10,18,81,Harvesting,2023-02-23
104,13,3,97,Harvesting,2023-10-27
105,3,31,87,Feeding,2023-11-13
106,2,17,69,Cleaning,2023-05-10
107,2,50,97,Harvesting,2023-04-25
108,5,60,24,Irrigation,2023-03-21
109,19,66,36,Irrigation,2023-04-22
110,2,35,83,Irrigation,2023-01-08
111,6,76,26,Feeding,2023-08-06
112,1,75,33,Cleaning,2023-05-14
113,16,64,24,Irrigation,2023-09-18
114,18,16,22,Irrigation,2023-10-31
115,12,87,13,Cleaning,2023-04-26
116,13,55,27,Irrigation,2023-08-14
117,12,35,98,Irrigation,2023-05-10
118,10,31,83,Harvesting,2023-09-16
119,18,60,52,Harvesting,2023-08-06
120,8,,81,Irrigation,2023-04-04
